Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
D-lactaldehyde[c]	18	-0.54277	0.92624	0.99999	0.54277	0.13389	0.75377	10.452	0.43677	0.90068	9	6.9987	0.62912	0.99076	9	7.7834	0.22303	0.80312
L-lactate[m]	7	5.3389	0.22812	0.74842	-5.3389	0.7765	1	9.3916	0.11701	0.55404	5	8.6443	0.13697	0.65252	2	3.9022	0.32506	0.888
(R)-S-lactoylglutathione[m]	2	0.054645	0.66234	0.99999	-0.054645	0.38024	1	1.5917	0.74756	0.97978	1	1.1718	0.71249	0.99076	1	1.0791	0.62457	0.9673
D-lactate[m]	3	1.9591	0.48595	0.98329	-1.9591	0.5379	1	3.0992	0.65471	0.97978	2	3.0327	0.60608	0.99076	1	1.0791	0.62457	0.9673
GSH[m]	35	3.5326	0.78512	0.99999	-1.1515	0.13787	0.75377	12.615	0.70567	0.97978	19	10.876	0.57965	0.99076	16	6.8061	0.62885	0.9673
propanoyl-CoA[c]	25	9.7373	0.094104	0.48455	-9.4725	0.90134	1	16.263	0.049432	0.37684	15	16.997	0.004479	0.10265	10	4.8966	0.67254	0.9673
propanoate[c]	16	1.0506	0.82332	0.99999	-1.0506	0.25298	0.90708	10.661	0.32887	0.84669	8	8.432	0.35274	0.97794	8	6.6449	0.32019	0.88658
FAD[m];FADH2[m]	32	4.8807	0.61274	0.99999	-2.5713	0.26604	0.90708	9.9877	0.90523	0.98725	23	7.9872	0.96218	0.99076	9	6.0645	0.4579	0.95905
propanoyl-CoA[m]	43	1.6265	0.9436	0.99999	-1.6265	0.12585	0.73384	10.564	0.97121	0.98796	27	6.9124	0.9955	0.99665	16	8.3394	0.39853	0.93011
acrylyl-CoA[m]	9	2.7102	0.54946	0.99999	-2.7102	0.50221	1	3.9775	0.88236	0.98725	6	3.7493	0.85033	0.99076	3	1.5869	0.74427	0.9673
propanoate[m]	9	-3.8911	0.97987	0.99999	3.8911	0.044486	0.45812	6.1197	0.64332	0.97967	3	2.1898	0.82049	0.99076	6	5.9467	0.31576	0.87943
malonyl-CoA[c]	15	4.1499	0.4906	0.98577	-4.1499	0.56699	1	7.25	0.76707	0.97978	10	6.704	0.72979	0.99076	5	3.0765	0.66899	0.9673
malonyl-CoA[m]	4	-0.54938	0.77975	0.99999	0.54938	0.27237	0.91171	3.6055	0.6676	0.97978	2	2.3618	0.70042	0.99076	2	2.7371	0.49554	0.96722
malonyl-CoA[p]	4	1.4785	0.5735	0.99999	-1.4785	0.46513	1	2.251	0.82832	0.9838	2	2.9632	0.61627	0.99076	2	0.22015	0.82758	0.96952
acetyl-CoA[p]	10	-2.4812	0.95583	0.99999	2.4812	0.080404	0.59743	3.9515	0.90905	0.98725	4	1.2164	0.94418	0.99076	6	4.1082	0.58909	0.9673
CO2[p]	4	5.6636	0.15288	0.61465	-5.6639	0.83693	1	4.6314	0.51747	0.95019	2	8.0803	0.048411	0.37257	2	-1.5305	0.94624	0.98083
3-oxopropanoate[m]	3	-1.4488	0.83341	0.99999	1.4488	0.2128	0.84962	4.5042	0.44537	0.90661	2	1.6435	0.78819	0.99076	1	5.4771	0.086424	0.6069
propinol adenylate[c];propinol adenylate[m]	3	-5.7391	0.98714	0.99999	5.7391	0.027456	0.35382	5.3283	0.32584	0.84259	0	NA	NA	NA	3	5.3283	0.21652	0.79199
hydracrylate[m]	2	-2.3023	0.86667	0.99999	2.3023	0.18267	0.81747	5.3379	0.22362	0.7279	1	2.0717	0.58265	0.99076	1	5.4771	0.086424	0.6069
3-hydroxypropionyl-CoA[m]	26	6.2959	0.39164	0.91149	-6.2958	0.66957	1	9.8334	0.80292	0.98237	18	9.2457	0.76679	0.99076	8	3.8588	0.72638	0.9673
3-oxopropionyl-CoA[m];alpha-hydroxyisocaproic acid[c];3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one[r];9-cis-4-oxo-13,14-dihydro-retinoate[c]	23	5.4269	0.4624	0.97054	-5.4267	0.60715	1	9.5586	0.7526	0.97978	15	9.0182	0.6787	0.99076	8	3.8588	0.72638	0.9673
AKG[c]	37	21.366	8.7771e-06	0.0011205	-21.051	0.99996	1	21.575	0.0029795	0.098999	33	22.219	0.002759	0.076709	4	1.7967	0.78157	0.9673
FADH2[c]	29	2.8044	0.80027	0.99999	-2.8044	0.29555	0.93502	11.208	0.7275	0.97978	17	9.0024	0.75883	0.99076	12	6.7083	0.49065	0.96722
2-hydroxyglutarate[c]	2	5.1569	0.14028	0.57988	-5.1569	0.84009	1	4.8949	0.27716	0.7962	2	4.8949	0.32897	0.94565	0	NA	NA	NA
FAD[c]	43	7.283	0.46944	0.97138	-7.2636	0.62309	1	16.514	0.34942	0.85452	28	14.417	0.4169	0.99076	15	8.2634	0.37534	0.91745
acetoacetyl-CoA[c]	4	-0.20608	0.74925	0.99999	0.20608	0.30225	0.93578	3.623	0.66518	0.97978	2	2.2547	0.71448	0.99076	2	2.8691	0.47557	0.9652
acetoacetate[c]	8	7.9961	0.07101	0.42389	-7.9961	0.92131	1	10.741	0.058008	0.40536	7	9.7699	0.1387	0.65645	1	4.532	0.15819	0.66304
butyryl-CoA[m]	30	8.3429	0.22823	0.74842	-8.3453	0.80614	1	13.122	0.47374	0.92489	23	11.58	0.65153	0.99076	7	6.1744	0.33818	0.90068
crotonyl-CoA[m]	11	2.1188	0.64807	0.99999	-2.1188	0.41908	1	4.2352	0.91365	0.98725	7	3.6159	0.8996	0.99076	4	2.2398	0.72844	0.9673
(R)-3-hydroxybutanoate[m]	3	1.6009	0.52798	0.99999	-1.6009	0.50055	1	7.7822	0.082779	0.47329	2	5.6711	0.2298	0.83405	1	5.4589	0.087526	0.6069
acetoacetate[m]	8	2.6671	0.53314	0.99999	-2.6671	0.51357	1	9.5479	0.13265	0.58694	6	6.7398	0.45179	0.99076	2	7.4221	0.036703	0.43412
acetoacetyl-CoA[p]	5	-3.2181	0.94763	0.99999	3.2181	0.08974	0.63213	4.4249	0.6304	0.97734	2	0.79559	0.86956	0.99076	3	5.0629	0.24767	0.81457
CoA[p]	33	-1.2427	0.98331	0.99999	1.2427	0.050602	0.4923	9.9565	0.91937	0.98796	17	5.6482	0.97755	0.99076	16	8.4768	0.3784	0.91745
HMG-CoA[p];HMG-CoA[c]	3	-3.8203	0.95211	0.99999	3.8203	0.078183	0.59091	3.3827	0.6141	0.97734	1	-0.68665	0.90104	0.99076	2	4.6285	0.23287	0.81031
2-hydroxybutyrate[c]	9	7.9321	0.080774	0.45289	-7.9321	0.91235	1	10.394	0.10243	0.52345	8	9.4221	0.22283	0.82742	1	4.532	0.15819	0.66304
2-oxobutyrate[c]	13	10.948	0.017786	0.20881	-10.948	0.97725	1	12.792	0.053067	0.38776	12	12.006	0.12975	0.62516	1	4.532	0.15819	0.66304
ribose-5-phosphate[c]	14	7.1767	0.17318	0.65118	-7.1767	0.83539	1	9.4133	0.41892	0.8838	10	9.8248	0.28132	0.91049	4	2.0762	0.74877	0.9673
PRPP[c]	10	13.785	0.0010622	0.031703	-13.198	0.99655	1	13.614	0.0093602	0.18521	9	14.261	0.0066158	0.13358	1	0.26623	0.73504	0.9673
NADP+[r];NADPH[r]	79	5.9979	0.83577	0.99999	-5.9678	0.30027	0.93578	20.82	0.54053	0.9571	44	17.966	0.41411	0.99076	35	11.135	0.52214	0.9673
glucono-1,5-lactone-6-phosphate[r];glucono-1,5-lactone-6-phosphate[c]	3	3.0597	0.35974	0.88109	-3.0597	0.64921	1	1.1976	0.86923	0.98725	3	1.1976	0.90371	0.99076	0	NA	NA	NA
H+[r]	106	3.6903	0.98165	0.99999	-3.6643	0.071847	0.55736	23.882	0.56164	0.96126	59	18.127	0.78758	0.99076	47	15.556	0.16661	0.68544
ribose[c]	6	3.3082	0.42041	0.9301	-3.3082	0.60591	1	4.4692	0.69856	0.97978	4	4.8118	0.57593	0.99076	2	0.93599	0.74947	0.9673
ribulose-5-phosphate[r]	2	4.3078	0.20333	0.69653	-4.3078	0.78187	1	4.001	0.40096	0.87507	2	4.001	0.45975	0.99076	0	NA	NA	NA
ribose-1-phosphate[c]	4	-0.68108	0.79086	0.99999	0.68108	0.26131	0.90708	2.0785	0.84447	0.9838	2	1.0343	0.84921	0.99076	2	1.9051	0.61973	0.9673
2-deoxy-D-ribose-5-phosphate[c]	5	2.4149	0.49108	0.98577	-2.4149	0.54227	1	1.2963	0.93596	0.98796	4	1.9347	0.90512	0.99076	1	-0.9708	0.86452	0.96952
6-phospho-D-gluconate[r]	3	2.5698	0.41489	0.92484	-2.5698	0.60063	1	0.6865	0.90617	0.98725	3	0.6865	0.93342	0.99076	0	NA	NA	NA
6-phospho-D-gluconate[c]	5	-0.1031	0.76202	0.99999	0.1031	0.29414	0.93502	2.3343	0.87019	0.98725	3	0.6865	0.93342	0.99076	2	2.8501	0.47843	0.9652
D-gluconic acid[c]	2	-3.3104	0.92025	0.99999	3.3104	0.12261	0.72528	2.8501	0.57436	0.97068	0	NA	NA	NA	2	2.8501	0.47843	0.9652
sedoheptulose-7-phosphate[c]	6	8.2569	0.050189	0.37135	-8.1554	0.93628	1	7.5361	0.26099	0.77413	6	7.5361	0.33369	0.95436	0	NA	NA	NA
2-deoxy-D-ribose-1-phosphate[c]	5	2.4666	0.48506	0.98295	-2.4666	0.54754	1	1.7275	0.91275	0.98725	4	2.1441	0.89061	0.99076	1	-0.42556	0.81394	0.9673
ribitol[c];methylimidazoleacetic acid[c];phenylacetaldehyde[m];phenylacetate[m];4-hydroxyphenylacetate[c];activated methyl group[c]	4	3.0455	0.39453	0.91149	-3.0455	0.62281	1	4.9898	0.46324	0.92115	3	4.437	0.51735	0.99076	1	2.2945	0.4416	0.95692
deoxyribose[c]	2	1.4231	0.50683	0.99059	-1.4231	0.51743	1	0.68414	0.84434	0.9838	1	1.9383	0.6029	0.99076	1	-0.9708	0.86452	0.96952
NADH[r];NAD+[r]	35	-0.56061	0.97649	0.99999	0.56061	0.062617	0.53528	13.807	0.53194	0.95101	17	9.4316	0.70395	0.99076	18	10.087	0.2209	0.79951
cAMP[c];cGMP[c]	41	-8.2127	0.99999	0.99999	8.2127	0.00017201	0.011336	13.234	0.75891	0.97978	13	5.1074	0.95437	0.99076	28	12.534	0.18052	0.70146
adenosine[c]	23	11.021	0.043966	0.35128	-11.026	0.9545	1	10.593	0.61372	0.97734	21	10.544	0.72017	0.99076	2	1.7554	0.6412	0.9673
AMP[s]	17	13.768	0.0026052	0.058073	-13.767	0.99559	1	12.817	0.11686	0.55404	16	13.213	0.14484	0.67858	1	-0.0048964	0.76784	0.9673
adenosine[s]	16	9.9319	0.046466	0.35889	-9.9371	0.9496	1	10.276	0.38376	0.86369	14	10.322	0.42197	0.99076	2	1.7554	0.6412	0.9673
Pi[s]	45	13.165	0.038329	0.32451	-12.762	0.95702	1	19.218	0.098653	0.51878	33	18.68	0.080978	0.4976	12	6.2371	0.56231	0.9673
adenosine[m]	9	7.334	0.11023	0.52183	-7.334	0.88508	1	6.2238	0.62836	0.97734	9	6.2238	0.73533	0.99076	0	NA	NA	NA
GMP[c]	41	2.2843	0.90392	0.99999	-2.2843	0.18133	0.81747	12.021	0.87708	0.98725	22	9.835	0.83231	0.99076	19	7.076	0.68976	0.9673
IMP[c]	20	14.121	0.0034128	0.068295	-13.848	0.99347	1	13.46	0.13477	0.58891	19	13.447	0.21024	0.81349	1	1.5817	0.54992	0.9673
xanthosine-5-phosphate[c]	12	9.9866	0.032173	0.29508	-9.9866	0.96109	1	8.8543	0.40589	0.87762	12	8.8543	0.53841	0.99076	0	NA	NA	NA
aspartate[c]	26	16.891	0.00035216	0.013481	-16.191	0.99864	1	22.036	8.3844e-05	0.012135	20	22.208	2.377e-05	0.006719	6	5.325	0.40467	0.94135
adenylosuccinate[c]	4	6.9405	0.081782	0.45289	-6.9405	0.90458	1	6.1994	0.29065	0.80604	4	6.1994	0.36369	0.98624	0	NA	NA	NA
glutamine[c]	38	19.001	0.00013824	0.0079259	-18.475	0.99956	1	19.42	0.033117	0.32581	32	20.031	0.021421	0.22492	6	2.613	0.78768	0.9673
glutamate[c]	62	23.274	6.5501e-06	0.00098094	-22.797	0.99997	1	26.406	0.0014604	0.071437	50	26.891	0.00060654	0.032341	12	5.1294	0.71925	0.9673
NH3[c]	57	14.291	0.035578	0.31016	-10.831	0.84381	1	23.618	0.013704	0.22554	41	21.853	0.024595	0.24283	16	9.5946	0.2306	0.81031
adenine[c]	6	5.1214	0.23292	0.75124	-5.1214	0.76985	1	4.1747	0.73621	0.97978	6	4.1747	0.80866	0.99076	0	NA	NA	NA
PPi[s]	2	5.3145	0.13023	0.5602	-5.3145	0.84966	1	5.0612	0.25634	0.77413	2	5.0612	0.30631	0.9323	0	NA	NA	NA
adenine[s]	2	4.507	0.1872	0.67416	-4.507	0.79652	1	4.191	0.37326	0.85654	2	4.191	0.43106	0.99076	0	NA	NA	NA
GDP[s];GTP[s]	19	13.636	0.0042957	0.077146	-13.016	0.98978	1	15.458	0.026042	0.30818	15	16.186	0.010702	0.17452	4	2.3447	0.71497	0.9673
GMP[s]	16	13.148	0.004337	0.077146	-13.146	0.99331	1	12.208	0.15027	0.61319	15	12.61	0.17848	0.75071	1	-0.0048964	0.76784	0.9673
ITP[s];CDP[s];CTP[s]	3	4.0302	0.25954	0.79311	-4.0302	0.73799	1	4.0205	0.51872	0.95019	2	4.9276	0.32446	0.94139	1	-0.0048964	0.76784	0.9673
IDP[s];UDP[s];IMP[s]	8	11.529	0.0062643	0.10241	-11.526	0.99005	1	11.268	0.038041	0.33548	7	12.048	0.024891	0.24369	1	-0.0048964	0.76784	0.9673
5-phosphoribosylamine[c]	2	12.181	0.00084156	0.026464	-10.87	0.99286	1	12.065	0.00044667	0.035754	2	12.065	0.00072732	0.035244	0	NA	NA	NA
fumarate[c]	7	5.3659	0.22575	0.74728	-5.3659	0.77858	1	4.8215	0.70935	0.97978	6	5.1352	0.69172	0.99076	1	0.17803	0.74596	0.9673
inosine[c]	16	8.1909	0.12123	0.53992	-8.1909	0.88255	1	8.4366	0.65858	0.97978	14	8.3556	0.7137	0.99076	2	1.7554	0.6412	0.9673
hypoxanthine[c]	5	9.314	0.02084	0.23525	-9.0043	0.96412	1	8.7685	0.093825	0.51052	5	8.7685	0.12662	0.62516	0	NA	NA	NA
dADP[c]	31	12.181	0.034111	0.30647	-10.977	0.93523	1	17.494	0.048519	0.37415	21	18.011	0.010659	0.17452	10	4.7016	0.69922	0.9673
dATP[c]	42	18.919	0.00022474	0.011858	-18.055	0.99914	1	20.824	0.019042	0.25995	32	22.738	0.0010151	0.047823	10	2.0032	0.94101	0.97734
guanosine[c]	14	8.4978	0.092116	0.48135	-8.4978	0.90602	1	7.0442	0.75795	0.97978	14	7.0442	0.85809	0.99076	0	NA	NA	NA
guanosine[s]	12	8.7185	0.069506	0.41794	-8.7185	0.92466	1	7.5291	0.60413	0.97734	12	7.5291	0.72943	0.99076	0	NA	NA	NA
guanine[c]	7	6.7395	0.12417	0.5453	-6.7395	0.86912	1	5.9382	0.5501	0.9571	7	5.9382	0.65048	0.99076	0	NA	NA	NA
dAMP[c]	25	7.713	0.23415	0.75243	-7.4632	0.77962	1	10.859	0.65227	0.97978	18	10.681	0.56862	0.99076	7	3.3939	0.7375	0.9673
inosine[s]	7	4.3992	0.31904	0.85027	-4.3992	0.69766	1	6.094	0.52653	0.95019	5	6.1004	0.45981	0.99076	2	1.7554	0.6412	0.9673
NH3[s]	9	2.44	0.5805	0.99999	1.9146	0.11703	0.71797	11.751	0.036985	0.33548	5	9.4706	0.078297	0.49549	4	7.0374	0.11001	0.63769
glucosamine[c]	7	5.6945	0.19795	0.6911	-3.7566	0.63746	1	9.5329	0.10676	0.53108	6	7.6893	0.31237	0.93291	1	6.3868	0.043565	0.44597
glucosamine-6-phosphate[c]	11	5.8794	0.23754	0.75506	-5.778	0.76875	1	9.3384	0.28675	0.80348	7	9.597	0.15394	0.70024	4	2.7904	0.65452	0.9673
xanthine[c]	3	7.164	0.05855	0.39353	-6.7641	0.91192	1	6.688	0.16612	0.63963	3	6.688	0.2028	0.81349	0	NA	NA	NA
H2O2[c]	70	3.8099	0.93106	0.99999	0.96784	0.012885	0.2203	24.557	0.035852	0.33405	43	17.389	0.47396	0.99076	27	17.596	0.0016539	0.091828
dGDP[c]	16	17.665	3.8888e-05	0.0029774	-15.69	0.99914	1	17.501	0.0011002	0.060548	13	19.483	4.9786e-05	0.0093818	3	-0.13992	0.90682	0.97155
dGTP[c]	38	21.188	9.6067e-06	0.0011205	-19.883	0.99989	1	21.361	0.004985	0.13301	29	24.462	3.4128e-05	0.0077322	9	-0.017418	0.98667	0.99607
deoxyguanosine[c]	15	9.3849	0.059694	0.39818	-9.3849	0.9359	1	8.0651	0.66117	0.97978	15	8.0651	0.79721	0.99076	0	NA	NA	NA
dGMP[c]	13	7.8369	0.11578	0.53515	-7.8369	0.88461	1	6.9732	0.72277	0.97978	12	7.1839	0.77191	0.99076	1	0.2562	0.7363	0.9673
thioredoxin[c];oxidized thioredoxin[c]	8	8.5182	0.052581	0.37949	-7.4966	0.90054	1	10.579	0.065603	0.43631	5	12.206	0.0064866	0.13295	3	1.517	0.75284	0.9673
dCTP[c]	36	19.088	8.3264e-05	0.0054306	-18.154	0.9995	1	19.296	0.02681	0.30818	27	22.292	0.0004139	0.02968	9	-0.017418	0.98667	0.99607
dUTP[c]	15	15.668	0.00033919	0.013274	-14.259	0.99729	1	15.581	0.0066513	0.15212	11	18.446	8.9513e-05	0.011446	4	-0.41691	0.94781	0.98083
dCDP[c]	15	15.836	0.00028291	0.012647	-14.428	0.99763	1	15.743	0.0055787	0.14238	12	17.671	0.00043766	0.02968	3	-0.13992	0.90682	0.97155
dUDP[c]	17	16.101	0.00024978	0.011888	-14.778	0.99802	1	15.732	0.010334	0.1981	12	19.315	3.6472e-05	0.0077322	5	-0.91521	0.97504	0.99321
deoxyadenosine[c]	15	8.2929	0.10797	0.51948	-8.2929	0.89235	1	7.9981	0.67055	0.97978	14	7.8241	0.77934	0.99076	1	1.7016	0.53174	0.9673
urate[c]	7	5.5613	0.20896	0.71038	-5.2996	0.77345	1	5.4756	0.61876	0.97734	6	5.3928	0.65575	0.99076	1	1.2774	0.59551	0.9673
O2[p]	25	-0.8035	0.96076	0.99999	6.1676	0.003021	0.083125	15.479	0.087864	0.49537	13	9.7553	0.45403	0.99076	12	12.188	0.017011	0.31503
xanthosine[c];nicotinate D-ribonucleoside[c]	9	7.0415	0.12716	0.5529	-7.0415	0.86974	1	5.8743	0.67768	0.97978	9	5.8743	0.77759	0.99076	0	NA	NA	NA
deoxyinosine[c]	9	6.0252	0.19954	0.69306	-6.0252	0.80578	1	6.4811	0.59061	0.9749	8	6.2726	0.67766	0.99076	1	1.7016	0.53174	0.9673
glycine[c]	49	13.553	0.035954	0.31189	-13.321	0.96468	1	15.344	0.6725	0.97978	36	16.167	0.4338	0.99076	13	2.8868	0.93667	0.97734
5-phosphoribosylformylglycinamidine[c];N-formyl-GAR[c]	2	8.1736	0.024724	0.25916	-8.1736	0.96107	1	7.9979	0.038101	0.33548	2	7.9979	0.051663	0.39116	0	NA	NA	NA
AIR[c]	2	13.351	0.00024625	0.011888	-10.87	0.99286	1	13.242	8.1424e-05	0.012135	2	13.242	0.00013969	0.014807	0	NA	NA	NA
SAICAR[c]	3	8.4397	0.026038	0.26815	-6.4133	0.89632	1	7.6936	0.088048	0.49537	3	7.6936	0.11073	0.59222	0	NA	NA	NA
AICAR[c]	3	7.1186	0.060128	0.39878	-6.4133	0.89632	1	6.3644	0.19869	0.68987	3	6.3644	0.24014	0.85649	0	NA	NA	NA
10-formyl-THF[c]	7	11.596	0.0050295	0.087692	-11.134	0.98801	1	10.188	0.067663	0.43646	7	10.188	0.10625	0.58614	0	NA	NA	NA
THF[c]	14	9.8613	0.042136	0.34355	-9.5348	0.94344	1	11.342	0.17341	0.64238	12	10.561	0.2856	0.91049	2	4.1391	0.29337	0.84684
uridine[c]	13	7.5296	0.13416	0.56657	-7.5295	0.86846	1	7.1365	0.70166	0.97978	9	8.9072	0.3416	0.9672	4	-0.4954	0.95094	0.98284
urea[c]	8	0.046409	0.80127	0.99999	-0.046409	0.25959	0.90708	7.4491	0.37875	0.8596	6	3.8754	0.83866	0.99076	2	8.1858	0.018748	0.31942
alloxan[c];alloxan[s];hypochlorite[c];nitrite[c];nitryl-chloride[c]	4	3.6159	0.33272	0.85656	-3.6159	0.67675	1	2.6594	0.78595	0.97978	4	2.6594	0.84831	0.99076	0	NA	NA	NA
H2O2[s]	18	3.477	0.60816	0.99999	2.7023	0.048031	0.48059	15.324	0.022719	0.28577	12	11.021	0.22815	0.83191	6	10.957	0.0081931	0.23791
urate[s]	6	2.3726	0.52862	0.99999	-2.3726	0.5105	1	2.3115	0.90935	0.98725	5	1.9609	0.93513	0.99076	1	1.2774	0.59551	0.9673
urea[s]	7	-0.85703	0.85676	0.99999	0.85703	0.20042	0.83241	7.1571	0.36747	0.85452	5	3.2912	0.84032	0.99076	2	8.1858	0.018748	0.31942
ADP-ribose[c]	7	-1.9836	0.91851	0.99999	1.9836	0.129	0.74481	9.5054	0.1087	0.5321	3	5.9224	0.29667	0.93225	4	7.4455	0.083403	0.6068
dATP[m];dUDP[m];dTDP[m]	9	11.673	0.0063543	0.1025	-10.818	0.9822	1	11.699	0.038608	0.338	7	13.287	0.0073805	0.14388	2	-0.04124	0.85174	0.96952
dADP[m]	13	15.767	0.00022894	0.011858	-14.254	0.99783	1	15.807	0.0028958	0.098067	10	18.099	9.3161e-05	0.011446	3	-0.13992	0.90682	0.97155
dGTP[m]	9	9.4976	0.031668	0.29377	-8.6425	0.9381	1	9.7913	0.14981	0.61319	6	12.012	0.01521	0.20153	3	-0.029172	0.89951	0.97155
dGDP[m]	13	13.957	0.0014532	0.038568	-12.444	0.99147	1	14.219	0.01549	0.22865	9	17.168	0.00015866	0.015829	4	-0.11727	0.9344	0.97616
CTP[m]	9	9.5517	0.030561	0.29091	-8.6966	0.93979	1	9.8013	0.14892	0.61319	6	12.012	0.01521	0.20153	3	-0.011881	0.89834	0.97155
CDP[m]	8	10.258	0.016716	0.20011	-9.351	0.9612	1	10.599	0.064603	0.43631	6	12.012	0.01521	0.20153	2	0.39221	0.81039	0.9673
dUTP[m]	14	14.486	0.0010415	0.031623	-13.028	0.99354	1	14.216	0.020779	0.27308	10	17.28	0.0003081	0.023752	4	-0.7275	0.95931	0.98432
dTTP[c]	32	16.933	0.00074982	0.025393	-16.454	0.99815	1	17.169	0.076431	0.45937	24	19.798	0.0038522	0.096229	8	0.046586	0.98053	0.99321
dTDP[c]	10	12.792	0.0027109	0.059673	-11.981	0.99141	1	12.777	0.021081	0.27499	8	14.306	0.0039019	0.096229	2	-0.04124	0.85174	0.96952
dTTP[m]	8	10.314	0.01605	0.1936	-9.407	0.9624	1	10.382	0.075772	0.45935	6	12.012	0.01521	0.20153	2	-0.04124	0.85174	0.96952
dADP[n];dATP[n]	9	12.483	0.0031846	0.065763	-11.628	0.98957	1	12.88	0.013249	0.22554	8	13.161	0.013364	0.19207	1	1.4149	0.57503	0.9673
dTTP[n];dIDP[c]	7	11.059	0.0078248	0.11724	-10.09	0.97658	1	11.656	0.020032	0.26725	6	12.012	0.01521	0.20153	1	1.4149	0.57503	0.9673
dTDP[n]	8	12.412	0.0029425	0.063193	-11.505	0.9899	1	12.93	0.0079502	0.17284	7	13.287	0.0073805	0.14388	1	1.4149	0.57503	0.9673
2-methyl-3-oxopropanoate[m]	11	3.0578	0.54255	0.99999	-3.0578	0.51464	1	8.5662	0.39305	0.8721	8	6.5289	0.64116	0.99076	3	5.7414	0.17282	0.6884
alanine[m]	4	6.0372	0.12879	0.55724	-4.0701	0.71725	1	5.752	0.35136	0.85452	3	6.436	0.23157	0.83562	1	0.35664	0.72361	0.9673
HCO3-[c]	37	4.0154	0.75667	0.99999	-1.8455	0.17584	0.81747	17.073	0.15142	0.61328	23	12.828	0.46311	0.99076	14	11.314	0.057459	0.51859
dTMP[c]	14	13.316	0.0031073	0.065763	-12.471	0.99041	1	12.601	0.077561	0.46114	13	13.006	0.084199	0.51184	1	0.2562	0.7363	0.9673
thymidine[c]	15	10.476	0.030266	0.29091	-9.8442	0.94949	1	9.0261	0.51834	0.95019	15	9.0261	0.6776	0.99076	0	NA	NA	NA
UDP[r]	74	25.715	6.3239e-07	0.00029047	-25.219	1	1	25.125	0.033683	0.32689	61	27.414	0.0040052	0.09704	13	0.56258	0.99202	0.99903
UMP[r]	11	13.324	0.0019831	0.049187	-13.322	0.99621	1	12.457	0.040929	0.34962	9	14.418	0.0055746	0.12279	2	-1.3721	0.93935	0.97734
UMP[s]	11	13.166	0.0022938	0.05382	-13.163	0.99573	1	12.779	0.031315	0.31846	10	13.404	0.025878	0.24618	1	-0.0048964	0.76784	0.9673
CMP[c]	38	2.3821	0.88615	0.99999	-2.3826	0.20316	0.83589	14.245	0.55414	0.9571	21	11.267	0.61935	0.99076	17	8.7743	0.37351	0.91745
cytidine[c]	23	10.097	0.074915	0.43975	-10.097	0.92715	1	9.0288	0.81176	0.98376	19	10.111	0.69154	0.99076	4	-0.38687	0.94658	0.98083
CMP[s]	11	8.1299	0.085473	0.46456	-8.1299	0.9096	1	7.2134	0.59457	0.9749	10	7.567	0.61134	0.99076	1	-0.0048964	0.76784	0.9673
cytidine[s]	11	7.8242	0.10024	0.50408	-7.8242	0.89613	1	6.6295	0.67714	0.97978	11	6.6295	0.79236	0.99076	0	NA	NA	NA
UTP[s]	4	5.1599	0.18981	0.68216	-5.1599	0.80321	1	5.0527	0.45377	0.91237	3	5.8372	0.30823	0.9323	1	-0.0048964	0.76784	0.9673
uracil[c]	5	1.1296	0.63792	0.99999	-1.1296	0.41124	1	3.3702	0.76843	0.97978	2	4.0032	0.45942	0.99076	3	1.0823	0.80257	0.9673
5,6-Dihydrouracil[c]	4	-5.027	0.98055	0.99999	5.027	0.04008	0.42776	6.2218	0.28775	0.80348	1	1.3244	0.69181	0.99076	3	6.4197	0.11425	0.65431
3-ureidopropionate[c]	4	-4.5966	0.97387	0.99999	4.5966	0.050525	0.4923	5.7279	0.35477	0.85452	1	1.3244	0.69181	0.99076	3	5.8494	0.1624	0.67715
thymine[c]	4	1.7016	0.54808	0.99999	-1.7016	0.48784	1	3.3563	0.70121	0.97978	3	2.7013	0.76374	0.99076	1	2.0339	0.48112	0.9652
dihydrothymine[c]	2	-3.5316	0.92945	0.99999	3.5316	0.11154	0.70912	3.1675	0.52655	0.95019	0	NA	NA	NA	2	3.1675	0.43069	0.95692
dTMP[m]	10	7.9535	0.086926	0.46956	-7.9535	0.90803	1	7.178	0.54145	0.9571	9	7.5637	0.54426	0.99076	1	0.0077954	0.76635	0.9673
thymidine[m]	10	6.7428	0.15759	0.61742	-6.7428	0.8442	1	5.9069	0.72206	0.97978	9	6.2238	0.73533	0.99076	1	0.0077954	0.76635	0.9673
dCMP[c]	16	9.6986	0.053524	0.38168	-9.6986	0.94284	1	8.779	0.6093	0.97734	15	9.0008	0.6811	0.99076	1	0.2562	0.7363	0.9673
deoxycytidine[c]	14	8.5428	0.089961	0.47828	-8.5428	0.90796	1	7.3788	0.71634	0.97978	13	7.752	0.74606	0.99076	1	-0.34146	0.8052	0.9673
